id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2021-03-22T05:45:44;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2021-03-21T17:38:26;75071
2;Rhode Island bypassing SQL;2021-03-21T20:33:48;Frozen online streamline;ISSUED;CREDIT_CARD;2021-03-22T12:20:54;68011
3;lime program;2021-03-21T15:48:51;parse Horizontal Shirt;ISSUED;PAYPAL;2021-03-21T16:39:24;82892
4;Buckinghamshire Director Gloves;2021-03-21T20:19:34;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2021-03-21T12:54:35;33894
5;attitude-oriented;2021-03-21T22:47:42;Integration structure;CANCELLED;PAYPAL;2021-03-22T00:55:12;72584
6;Internal Licensed Steel Towels RSS;2021-03-22T05:23:52;Chips;PAID;CREDIT_CARD;2021-03-22T06:19:32;90614
7;Toys Cotton;2021-03-21T21:53:13;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2021-03-21T19:36:37;42722
8;Arizona Barbados Dollar;2021-03-22T06:22:55;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2021-03-22T03:26:23;44406
9;Generic Ethiopian Birr Assurance;2021-03-21T18:51:46;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2021-03-22T02:47:16;93110
10;Concrete;2021-03-22T11:35:32;paradigms system;PAID;CREDIT_CARD;2021-03-21T14:01:44;93817
