id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-03-21T13:57:28;payment unleash Jamaican Dollar;1
2;Rest;2021-03-22T09:13:58;Plains;2
3;Quality Plastic plum;2021-03-21T13:34:20;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-03-22T10:01:32;Architect SSL;4
5;zero tolerance;2021-03-22T06:57:51;user-facing CSS;5
6;ADP Ouguiya;2021-03-22T02:54:19;Garden;6
7;auxiliary;2021-03-22T11:10:19;functionalities Bedfordshire withdrawal;7
8;Data;2021-03-21T14:08:20;Viaduct hybrid;8
9;mesh;2021-03-22T12:33:59;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-03-22T10:32:53;Re-engineered withdrawal Ball;10
