id;placed_date;status;code;invoice_id;customer_id
1;2021-03-22T04:31:18;COMPLETED;Georgia calculate withdrawal;88795;1
2;2021-03-22T04:08:03;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2021-03-21T13:25:11;COMPLETED;real-time;88753;3
4;2021-03-21T21:29:20;COMPLETED;Square Regional;82542;4
5;2021-03-22T03:20:28;PENDING;maroon Decentralized Bike;98183;5
6;2021-03-21T19:44:10;COMPLETED;program;52549;6
7;2021-03-22T10:00:05;COMPLETED;target;30578;7
8;2021-03-22T08:08:11;CANCELLED;input;43284;8
9;2021-03-22T08:34:13;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2021-03-22T09:39:18;COMPLETED;National lavender;4674;10
